Lake,BIOCON,AREA,DEPMAX,DEPMN,MAT,GDD,COND,DOC,SEC,TP,AP,AP_Flag,RICH,CBio1,CBio2,CBio3,CBio4,CBio5,CBio6,CBio7,CBio8,CBio9,CBio10,CBio11,CBio12,CBio13,CBio14,CBio15,CBio16,CBio17,CBio18,CBio19,CBio20,CBio21,CBio22,CBio23,CBio24,CBio25,CBio26,CBio27,CBio28,CBio29,CBio30,CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPA7,CPA8,CPA9,CPA10,CPA11,CPA12,CPA13,CPA14,CPA15,CPA16,CPA17,CPA18,CPA19,CPA20,CPA21,CPA22,CPA23,CPA24,CPA25,CPA26,CPA27,CPA28,CPA29,CPA30,CPA31,CPA32,CPA33,CPA34,CPA35,CPA36,CPA37,CPA38,CPA39,CPA40,CPA41,CPA42,CPA43,CPA44,CPA45,CPA46,CPA47,CPA48,CPA49,CPA50,CPA51,CPA52,CPA53,CPA54,CPA55,x_Waterbody_Name,x_Waterbody_LID,x_LakeID_Ignasi707,x_LakeID_Ignasi721
1,-0.90,299,12.66,4.7,-1.8,1069,137,8.6,1.9,12.8,0.00,0,14,-0.3830,0.1809,-0.0903,0.0537,0.0880,-0.0043,0.0262,-0.1390,0.0002,0.0180,0.0384,0.0203,-0.0595,-0.0165,-0.0036,0.0241,-0.0103,-0.0079,-0.0073,-0.0550,0.1149,-0.0484,-0.0514,0.0112,-0.0287,-0.0045,0.0180,-0.0390,0.0429,-0.0256,-0.2798,0.1974,-0.0859,0.1599,-0.0358,0.0436,-0.0180,0.1500,0.1485,-0.0517,-0.1063,-0.1218,0.1489,0.1699,-0.0292,-0.1005,0.1373,-0.0481,-0.0932,-0.0121,0.0948,-0.1248,0.0574,0.0060,-0.0450,-0.0464,-0.0716,0.0264,0.0036,0.1016,-0.0686,-0.0719,0.1161,-0.0851,-0.0191,-0.0545,-0.0728,-0.0055,0.0311,-0.0561,-0.0095,0.0208,0.0482,0.0052,-0.0116,0.0104,-0.0136,-0.0360,-0.0042,0.0358,0.0004,0.0115,-0.0190,-0.0019,0.0055,Pine L.,16-6284-60018,1,1
2,-0.55,1082,16.00,4.5,-1.9,1059,133,7.8,2.0,9.5,0.00,0,10,-0.4281,0.3178,-0.1092,-0.0382,0.1304,0.0144,-0.0595,-0.1348,-0.0056,0.0473,0.0229,0.0513,-0.0114,-0.0704,0.0294,0.0030,-0.0054,-0.0763,0.0175,-0.0080,0.0855,-0.0485,-0.0092,0.0146,-0.0062,-0.0123,-0.0069,-0.0213,0.0271,-0.0120,-0.3764,0.1137,-0.1266,0.1210,0.0952,-0.0144,-0.0521,0.0849,0.2237,-0.0308,0.0844,-0.0909,0.0564,0.0537,0.0095,-0.0171,0.0894,-0.0467,-0.0694,-0.0064,-0.0395,-0.0980,0.1050,-0.1148,0.0486,0.0000,0.0622,0.0018,0.0066,-0.0296,0.0276,-0.0110,-0.0163,0.0279,-0.0217,0.0186,-0.0230,0.0003,-0.0377,0.0070,-0.0074,-0.0010,0.0239,0.0146,0.0098,0.0203,-0.0208,-0.0088,-0.0011,0.0144,0.0022,0.0056,-0.0067,-0.0137,0.0035,Spruce L.1,16-6292-60223,3,3
3,-0.98,63883,36.58,10.3,-1.7,1146,114,6.4,5.7,6.6,0.00,0,20,-0.2334,0.1854,-0.0297,0.1671,0.0813,-0.0695,-0.0253,-0.0250,0.1426,0.0372,-0.0158,0.1198,-0.2042,-0.0533,0.1470,-0.0439,-0.1567,-0.1398,0.0292,0.0240,0.0257,-0.0547,-0.0236,-0.0218,-0.0459,0.0331,0.0107,0.0060,0.0589,0.0052,-0.1997,0.2524,0.0808,0.0079,-0.1039,0.1006,-0.0320,0.2132,0.2048,-0.0174,-0.0134,-0.0464,0.1483,0.0137,-0.0020,-0.0708,0.0976,-0.0397,-0.0078,0.0513,-0.1218,-0.0270,-0.0683,-0.0589,-0.1563,-0.1071,-0.0456,0.0424,-0.0075,0.0685,-0.0408,-0.0411,0.1064,-0.1030,0.0190,-0.0714,0.0911,0.0768,0.0692,0.0344,0.1795,-0.0226,-0.0927,0.1072,0.0164,-0.0199,0.0814,-0.0467,0.0143,-0.0019,0.0270,-0.0216,0.0655,-0.0129,-0.0093,Big Trout L.,15-6978-59597,4,4
4,-0.67,5220,18.50,7.0,1.1,1489,34,5.5,5.7,6.7,0.00,0,15,-0.4732,0.0695,-0.0626,-0.0623,0.1941,-0.0860,-0.0016,0.0951,0.0291,-0.0578,0.0425,-0.0210,-0.0018,-0.0558,0.0103,0.0093,0.0284,-0.0548,0.0461,-0.0397,0.0648,-0.0197,0.0055,-0.0033,-0.0214,-0.0118,-0.0089,-0.0066,0.0097,-0.0262,-0.2430,0.1162,-0.0766,0.1638,0.0188,-0.0335,-0.0402,0.0374,0.2306,0.1010,0.0749,-0.0713,0.1246,0.0812,-0.1747,0.0891,0.1498,-0.1425,-0.1169,0.0537,-0.1468,-0.1886,-0.0777,0.0846,-0.0074,-0.0882,-0.0171,0.0636,-0.0493,0.1800,0.0781,0.0147,-0.0299,0.0839,0.0006,0.0418,0.1096,0.0952,-0.0543,-0.0313,-0.0069,0.0209,0.0401,-0.0035,-0.0247,0.0143,0.0071,0.0142,-0.0097,0.0263,0.0093,0.0102,0.0037,-0.0114,-0.0177,Cairns L.,15-3974-57298,5,5
5,-0.95,5389,30.00,8.9,-1.3,1225,232,6.0,7.7,8.8,0.00,0,18,0.1089,0.1098,0.2204,0.3942,0.1830,-0.2235,-0.1959,-0.2206,0.1575,0.0391,-0.0232,0.0741,-0.0021,-0.0537,0.1242,0.0538,0.0050,0.0140,0.0530,0.0519,0.1336,0.0865,-0.0478,-0.0077,-0.0418,-0.0468,-0.0460,0.0331,0.0369,-0.0362,-0.0955,0.3625,0.1090,-0.0005,-0.0889,-0.0295,0.1387,0.2932,0.0680,-0.0485,0.0523,0.0299,-0.0236,-0.0133,-0.1011,0.0217,0.0613,0.0324,-0.1213,0.0738,-0.0802,-0.1448,-0.0148,0.1016,-0.1099,0.0022,-0.0282,0.0838,-0.0469,0.0984,0.0353,0.1188,-0.1386,-0.1217,-0.1087,-0.0476,-0.0385,-0.0990,-0.0160,0.0217,0.0548,0.0017,-0.1778,0.0748,0.0101,-0.0167,-0.0995,0.1059,0.0504,-0.0671,-0.0196,0.0111,-0.1280,0.0562,0.0009,Echoing L.,15-5492-60415,6,6
6,-0.79,549,4.20,1.3,0.1,1306,78,11.8,2.2,8.0,0.00,0,8,-0.4647,0.0350,-0.2660,-0.1404,0.0244,0.0735,-0.2589,0.2007,0.0114,0.0361,-0.0141,0.0103,0.1021,-0.0392,0.0258,-0.0719,0.0379,-0.0788,-0.0435,-0.0697,-0.0726,0.1273,0.0393,0.0194,0.0273,-0.0109,-0.0137,-0.0180,-0.0614,-0.0351,0.0234,0.0011,-0.4676,-0.0920,-0.1832,-0.0124,-0.1243,0.0921,-0.0065,0.2523,-0.1130,0.1225,-0.1655,0.0146,-0.1117,0.0645,0.1648,-0.0787,0.0478,0.1146,-0.0412,-0.0870,-0.0431,0.0734,-0.0968,-0.0680,-0.0118,0.0739,0.0420,0.2370,-0.0933,0.0302,-0.1527,0.0302,-0.0019,-0.1073,0.0014,-0.0926,-0.0308,-0.0260,-0.0237,-0.0142,0.0461,-0.0310,-0.0220,-0.0089,0.0268,0.0127,-0.0064,0.0447,-0.0066,0.0088,-0.0024,-0.0027,-0.0079,"I-291, L.",16-4324-56660,7,7
7,-1.05,507,4.90,1.9,-0.8,1282,75,8.2,2.1,10.9,0.00,0,11,-0.2943,0.0567,-0.2919,0.0993,0.0201,0.1473,-0.1703,0.0003,0.1338,0.2061,-0.0105,0.1240,0.0411,0.0243,-0.0123,0.0108,0.0299,-0.0080,-0.0089,-0.0094,-0.0332,-0.0220,-0.0390,-0.0415,-0.0172,0.0020,0.0103,0.0865,0.0084,0.0764,-0.2612,0.0747,-0.2447,0.0890,-0.0929,0.1495,-0.0703,0.0363,0.1442,0.0340,-0.0875,-0.1091,0.3016,0.2230,0.0196,-0.0045,-0.1451,0.0040,0.0459,0.1211,-0.0630,-0.0481,0.0407,-0.1232,0.0179,0.0175,0.0652,-0.0467,0.0124,-0.0479,0.0380,0.0302,-0.0080,-0.0224,-0.0218,0.0165,-0.0694,-0.0085,-0.0834,0.0014,-0.0055,0.0021,0.0086,0.0371,0.0079,0.0146,-0.0342,-0.0079,0.0233,0.0230,-0.0032,0.0080,-0.0099,-0.0119,0.0090,Lingman L.,15-5089-59670,8,8
8,-1.20,5513,2.70,1.6,-0.4,1310,76,12.5,1.0,18.2,0.00,0,12,-0.2471,-0.1210,-0.0781,0.1854,-0.1928,-0.1470,-0.1789,0.0477,0.2044,0.1317,-0.0357,0.0495,-0.0418,0.2563,-0.1304,0.0571,0.1014,0.0573,-0.0127,-0.0090,-0.0481,-0.0043,-0.0327,-0.0225,-0.0281,0.0017,0.0119,0.0219,0.0155,0.0102,-0.3830,0.1140,-0.1578,0.1494,0.0031,0.0473,0.1235,-0.0420,-0.1258,0.0328,-0.0122,-0.0259,0.1038,0.1509,0.0341,0.0081,-0.0939,0.0592,0.0289,-0.0603,-0.0940,0.0593,0.0255,-0.0489,-0.0749,-0.0195,-0.0332,-0.0063,0.0613,-0.0320,-0.0404,-0.0093,-0.0141,0.0037,0.0132,0.0350,0.1052,-0.0634,0.1070,-0.0512,-0.0693,0.0257,0.0040,-0.0082,-0.0011,-0.0138,-0.0261,-0.0164,0.0363,0.0083,0.0153,0.0054,-0.0277,-0.0063,0.0178,Nikip L.,15-5751-58597,9,9
9,-1.19,1301,14.60,2.5,-1.3,1178,119,8.3,2.5,10.1,0.00,0,10,-0.3786,0.0602,-0.2044,0.0622,-0.0209,0.0500,-0.1065,0.0791,0.1532,0.1312,-0.0015,0.0911,0.0108,0.0771,-0.0762,0.0268,0.0803,0.0217,-0.0324,-0.0347,-0.0553,-0.0163,-0.0947,-0.0404,0.0001,0.0206,-0.0375,-0.0332,0.0070,-0.0155,-0.4144,0.1213,-0.1411,0.1243,0.0009,-0.0268,0.0710,0.0095,-0.0655,0.0532,0.0049,0.0210,0.0423,0.1612,0.0190,0.0178,0.0418,0.0282,-0.0240,-0.0688,0.1027,-0.0938,-0.0542,0.0629,-0.0199,-0.0598,-0.0490,0.0746,-0.0915,0.0954,-0.0945,0.0205,-0.0042,-0.0480,0.0304,-0.0264,-0.0621,-0.0060,0.0039,-0.0184,-0.0170,-0.0139,0.0516,-0.0446,0.0079,0.0054,-0.0056,-0.0251,-0.0133,0.0170,-0.0017,0.0095,-0.0007,-0.0004,0.0033,NL,16-4137-58866,10,10
10,-0.80,6603,31.50,9.8,0.1,1372,57,11.5,2.3,13.1,0.00,0,14,-0.1742,0.2290,-0.0142,0.0957,-0.2589,-0.0922,-0.2001,-0.2699,-0.0564,0.0414,-0.0272,0.0093,-0.2234,0.2652,0.0093,-0.0099,-0.2063,-0.0677,0.0751,0.1528,-0.0970,-0.0045,0.1468,-0.0319,-0.0081,0.0045,0.0464,-0.0078,0.0547,-0.0285,-0.3490,0.1831,-0.0339,0.0966,-0.0168,0.1545,0.0738,0.1085,-0.0600,-0.0849,-0.0179,0.0809,0.0353,0.1603,-0.0541,-0.0080,0.0257,-0.0698,0.0319,-0.0180,-0.0127,-0.2255,0.0077,-0.0434,0.0033,-0.0590,-0.0022,0.0649,-0.1035,0.0701,-0.1287,0.0609,-0.0282,-0.0017,-0.0060,-0.0074,0.0612,-0.0840,0.1117,0.0175,-0.0287,0.0587,-0.1543,0.0442,-0.0149,-0.0081,0.0399,0.0031,0.0285,-0.0111,0.0263,-0.0045,0.0344,-0.0156,-0.0049,North Spirit L.,15-5061-58179,11,11
