Lake,Size Interval,Body Mass,Interval Width,NPUE200,BPUE200,x_Waterbody_Name,x_Waterbody_LID,x_LakeID_Ignasi707,x_LakeID_Ignasi721
1,1,2,2,7.550,0.016,Pine L.,16-6284-60018,1,1
1,2,4,4,19.658,0.108,Pine L.,16-6284-60018,1,1
1,3,8,8,31.063,0.338,Pine L.,16-6284-60018,1,1
1,4,16,16,8.256,0.185,Pine L.,16-6284-60018,1,1
1,5,32,32,5.106,0.254,Pine L.,16-6284-60018,1,1
1,6,64,64,26.164,2.332,Pine L.,16-6284-60018,1,1
1,7,128,128,2.771,0.484,Pine L.,16-6284-60018,1,1
1,8,256,256,8.613,3.229,Pine L.,16-6284-60018,1,1
1,9,512,512,20.228,16.010,Pine L.,16-6284-60018,1,1
1,10,1024,1024,19.944,26.560,Pine L.,16-6284-60018,1,1
1,11,2048,2048,0.786,1.765,Pine L.,16-6284-60018,1,1
2,1,2,2,15.005,0.030,Spruce L.1,16-6292-60223,3,3
2,2,4,4,15.955,0.078,Spruce L.1,16-6292-60223,3,3
2,3,8,8,11.577,0.117,Spruce L.1,16-6292-60223,3,3
2,4,16,16,10.877,0.221,Spruce L.1,16-6292-60223,3,3
2,5,32,32,2.438,0.117,Spruce L.1,16-6292-60223,3,3
2,6,64,64,18.425,1.853,Spruce L.1,16-6292-60223,3,3
2,7,128,128,7.940,1.345,Spruce L.1,16-6292-60223,3,3
2,8,256,256,11.249,4.460,Spruce L.1,16-6292-60223,3,3
2,9,512,512,31.538,26.244,Spruce L.1,16-6292-60223,3,3
2,10,1024,1024,51.332,71.751,Spruce L.1,16-6292-60223,3,3
2,11,2048,2048,6.193,14.377,Spruce L.1,16-6292-60223,3,3
2,12,4096,4096,0.314,1.573,Spruce L.1,16-6292-60223,3,3
3,1,2,2,27.419,0.058,Big Trout L.,15-6978-59597,4,4
3,2,4,4,44.355,0.254,Big Trout L.,15-6978-59597,4,4
3,3,8,8,22.045,0.236,Big Trout L.,15-6978-59597,4,4
3,4,16,16,19.111,0.447,Big Trout L.,15-6978-59597,4,4
3,5,32,32,13.378,0.648,Big Trout L.,15-6978-59597,4,4
3,6,64,64,9.978,0.790,Big Trout L.,15-6978-59597,4,4
3,7,128,128,4.387,0.802,Big Trout L.,15-6978-59597,4,4
3,8,256,256,5.351,2.153,Big Trout L.,15-6978-59597,4,4
3,9,512,512,15.909,12.773,Big Trout L.,15-6978-59597,4,4
3,10,1024,1024,19.852,27.614,Big Trout L.,15-6978-59597,4,4
3,11,2048,2048,1.116,2.588,Big Trout L.,15-6978-59597,4,4
3,12,4096,4096,0.073,0.381,Big Trout L.,15-6978-59597,4,4
4,1,2,2,52.158,0.118,Cairns L.,15-3974-57298,5,5
4,2,4,4,11.256,0.060,Cairns L.,15-3974-57298,5,5
4,3,8,8,18.516,0.182,Cairns L.,15-3974-57298,5,5
4,4,16,16,11.077,0.242,Cairns L.,15-3974-57298,5,5
4,5,32,32,3.814,0.170,Cairns L.,15-3974-57298,5,5
4,6,64,64,6.528,0.593,Cairns L.,15-3974-57298,5,5
4,7,128,128,5.432,1.086,Cairns L.,15-3974-57298,5,5
4,8,256,256,23.955,9.046,Cairns L.,15-3974-57298,5,5
4,9,512,512,53.447,41.892,Cairns L.,15-3974-57298,5,5
4,10,1024,1024,18.485,23.769,Cairns L.,15-3974-57298,5,5
4,11,2048,2048,1.479,4.561,Cairns L.,15-3974-57298,5,5
4,12,4096,4096,0.794,4.050,Cairns L.,15-3974-57298,5,5
5,1,2,2,26.232,0.058,Echoing L.,15-5492-60415,6,6
5,2,4,4,75.710,0.383,Echoing L.,15-5492-60415,6,6
5,3,8,8,86.240,0.960,Echoing L.,15-5492-60415,6,6
5,4,16,16,51.353,1.160,Echoing L.,15-5492-60415,6,6
5,5,32,32,30.639,1.261,Echoing L.,15-5492-60415,6,6
5,6,64,64,9.822,0.826,Echoing L.,15-5492-60415,6,6
5,7,128,128,3.993,0.691,Echoing L.,15-5492-60415,6,6
5,8,256,256,12.202,4.825,Echoing L.,15-5492-60415,6,6
5,9,512,512,19.710,15.099,Echoing L.,15-5492-60415,6,6
5,10,1024,1024,39.178,57.580,Echoing L.,15-5492-60415,6,6
5,11,2048,2048,6.164,16.148,Echoing L.,15-5492-60415,6,6
5,12,4096,4096,0.302,1.507,Echoing L.,15-5492-60415,6,6
6,1,2,2,19.628,0.046,"I-291, L.",16-4324-56660,7,7
6,2,4,4,100.476,0.459,"I-291, L.",16-4324-56660,7,7
6,3,8,8,7.478,0.078,"I-291, L.",16-4324-56660,7,7
6,4,16,16,10.285,0.236,"I-291, L.",16-4324-56660,7,7
6,5,32,32,7.637,0.325,"I-291, L.",16-4324-56660,7,7
6,6,64,64,6.553,0.634,"I-291, L.",16-4324-56660,7,7
6,7,128,128,4.527,0.676,"I-291, L.",16-4324-56660,7,7
6,8,256,256,2.508,1.072,"I-291, L.",16-4324-56660,7,7
6,9,512,512,69.534,53.480,"I-291, L.",16-4324-56660,7,7
6,10,1024,1024,14.399,17.603,"I-291, L.",16-4324-56660,7,7
7,1,2,2,43.496,0.094,Lingman L.,15-5089-59670,8,8
7,2,4,4,128.122,0.688,Lingman L.,15-5089-59670,8,8
7,3,8,8,48.222,0.479,Lingman L.,15-5089-59670,8,8
7,4,16,16,32.780,0.666,Lingman L.,15-5089-59670,8,8
7,5,32,32,9.793,0.379,Lingman L.,15-5089-59670,8,8
7,6,64,64,8.693,0.827,Lingman L.,15-5089-59670,8,8
7,7,128,128,11.692,2.390,Lingman L.,15-5089-59670,8,8
7,8,256,256,13.143,5.014,Lingman L.,15-5089-59670,8,8
7,9,512,512,38.984,31.463,Lingman L.,15-5089-59670,8,8
7,10,1024,1024,27.445,35.007,Lingman L.,15-5089-59670,8,8
7,11,2048,2048,0.795,2.273,Lingman L.,15-5089-59670,8,8
8,1,2,2,322.000,0.661,Nikip L.,15-5751-58597,9,9
8,2,4,4,311.334,1.501,Nikip L.,15-5751-58597,9,9
8,3,8,8,213.667,2.108,Nikip L.,15-5751-58597,9,9
8,4,16,16,11.667,0.239,Nikip L.,15-5751-58597,9,9
8,5,32,32,10.713,0.519,Nikip L.,15-5751-58597,9,9
8,6,64,64,12.003,1.131,Nikip L.,15-5751-58597,9,9
8,7,128,128,25.870,4.688,Nikip L.,15-5751-58597,9,9
8,8,256,256,24.073,8.909,Nikip L.,15-5751-58597,9,9
8,9,512,512,39.047,29.341,Nikip L.,15-5751-58597,9,9
8,10,1024,1024,11.278,14.391,Nikip L.,15-5751-58597,9,9
8,11,2048,2048,0.808,2.316,Nikip L.,15-5751-58597,9,9
8,12,4096,4096,0.202,1.013,Nikip L.,15-5751-58597,9,9
9,1,2,2,6.756,0.016,NL,16-4137-58866,10,10
9,2,4,4,111.917,0.538,NL,16-4137-58866,10,10
9,3,8,8,82.575,0.835,NL,16-4137-58866,10,10
9,4,16,16,56.928,1.227,NL,16-4137-58866,10,10
9,5,32,32,21.950,1.030,NL,16-4137-58866,10,10
9,6,64,64,12.453,1.044,NL,16-4137-58866,10,10
9,7,128,128,14.345,2.348,NL,16-4137-58866,10,10
9,8,256,256,5.748,2.462,NL,16-4137-58866,10,10
9,9,512,512,31.183,25.117,NL,16-4137-58866,10,10
9,10,1024,1024,29.897,39.485,NL,16-4137-58866,10,10
9,11,2048,2048,0.551,1.230,NL,16-4137-58866,10,10
10,1,2,2,2.137,0.004,North Spirit L.,15-5061-58179,11,11
10,2,4,4,12.707,0.071,North Spirit L.,15-5061-58179,11,11
10,3,8,8,23.808,0.220,North Spirit L.,15-5061-58179,11,11
10,4,16,16,6.908,0.169,North Spirit L.,15-5061-58179,11,11
10,5,32,32,13.862,0.656,North Spirit L.,15-5061-58179,11,11
10,6,64,64,23.903,2.246,North Spirit L.,15-5061-58179,11,11
10,7,128,128,14.446,2.463,North Spirit L.,15-5061-58179,11,11
10,8,256,256,7.298,2.683,North Spirit L.,15-5061-58179,11,11
10,9,512,512,12.442,9.517,North Spirit L.,15-5061-58179,11,11
10,10,1024,1024,15.557,21.164,North Spirit L.,15-5061-58179,11,11
10,11,2048,2048,2.228,5.836,North Spirit L.,15-5061-58179,11,11
11,1,2,2,23.125,0.046,Sandy L.,15-5000-58758,12,12
11,2,4,4,56.021,0.286,Sandy L.,15-5000-58758,12,12
11,3,8,8,58.332,0.578,Sandy L.,15-5000-58758,12,12
11,4,16,16,18.358,0.466,Sandy L.,15-5000-58758,12,12
11,5,32,32,23.770,1.080,Sandy L.,15-5000-58758,12,12
11,6,64,64,37.006,3.613,Sandy L.,15-5000-58758,12,12
11,7,128,128,48.111,9.348,Sandy L.,15-5000-58758,12,12
11,8,256,256,73.287,27.104,Sandy L.,15-5000-58758,12,12
11,9,512,512,16.620,11.435,Sandy L.,15-5000-58758,12,12
