Lake,Spc,NPUE200,BPUE200,x_Waterbody_LID,x_Waterbody_Name,x_Lake_ID_OLD,xLakeID_Ignasi721
1,91,10.212,5.859,16-6284-60018,Pine L.,1,1
1,93,9.664,0.59,16-6284-60018,Pine L.,1,1
1,131,11.707,11.33,16-6284-60018,Pine L.,1,1
1,162,0.418,0.045,16-6284-60018,Pine L.,1,1
1,163,18.519,12.838,16-6284-60018,Pine L.,1,1
1,185,0.304,0.007,16-6284-60018,Pine L.,1,1
1,196,2.738,0.02,16-6284-60018,Pine L.,1,1
1,201,5.945,0.049,16-6284-60018,Pine L.,1,1
1,283,0.304,0.001,16-6284-60018,Pine L.,1,1
1,291,15.993,0.097,16-6284-60018,Pine L.,1,1
1,331,32.608,0.386,16-6284-60018,Pine L.,1,1
1,334,37.466,20.046,16-6284-60018,Pine L.,1,1
1,342,3.965,0.012,16-6284-60018,Pine L.,1,1
1,382,0.304,0.002,16-6284-60018,Pine L.,1,1
2,91,22.248,12.712,16-6292-60223,Spruce L.1,3,3
2,93,7.468,0.736,16-6292-60223,Spruce L.1,3,3
2,131,20.473,26.336,16-6292-60223,Spruce L.1,3,3
2,162,1.975,0.93,16-6292-60223,Spruce L.1,3,3
2,163,21.651,26.843,16-6292-60223,Spruce L.1,3,3
2,201,22.279,0.119,16-6292-60223,Spruce L.1,3,3
2,291,15.076,0.055,16-6292-60223,Spruce L.1,3,3
2,331,11.478,0.181,16-6292-60223,Spruce L.1,3,3
2,334,59.022,54.254,16-6292-60223,Spruce L.1,3,3
2,342,1.158,0.003,16-6292-60223,Spruce L.1,3,3
3,81,0.169,0.212,15-6978-59597,Big Trout L.,4,4
3,91,14.591,6.727,15-6978-59597,Big Trout L.,4,4
3,93,12.794,0.425,15-6978-59597,Big Trout L.,4,4
3,131,3.484,5.047,15-6978-59597,Big Trout L.,4,4
3,162,15.582,6.721,15-6978-59597,Big Trout L.,4,4
3,163,19.545,12.517,15-6978-59597,Big Trout L.,4,4
3,171,0.081,0.049,15-6978-59597,Big Trout L.,4,4
3,185,5.449,0.094,15-6978-59597,Big Trout L.,4,4
3,201,22.227,0.108,15-6978-59597,Big Trout L.,4,4
3,271,2.86,3.351,15-6978-59597,Big Trout L.,4,4
3,283,0.752,0.002,15-6978-59597,Big Trout L.,4,4
3,291,15.557,0.049,15-6978-59597,Big Trout L.,4,4
3,331,43.122,0.323,15-6978-59597,Big Trout L.,4,4
3,334,23.75,13.101,15-6978-59597,Big Trout L.,4,4
3,341,0.255,0.001,15-6978-59597,Big Trout L.,4,4
3,342,3.283,0.014,15-6978-59597,Big Trout L.,4,4
3,380,0.319,0.001,15-6978-59597,Big Trout L.,4,4
3,382,0.127,0.001,15-6978-59597,Big Trout L.,4,4
3,383,0.16,0,15-6978-59597,Big Trout L.,4,4
4,91,12.036,10.535,15-3974-57298,Cairns L.,5,5
4,93,6.322,0.467,15-3974-57298,Cairns L.,5,5
4,131,3.011,9.498,15-3974-57298,Cairns L.,5,5
4,162,0.95,0.249,15-3974-57298,Cairns L.,5,5
4,163,8.486,3.581,15-3974-57298,Cairns L.,5,5
4,201,9.147,0.082,15-3974-57298,Cairns L.,5,5
4,206,0.392,0.002,15-3974-57298,Cairns L.,5,5
4,208,1.962,0.008,15-3974-57298,Cairns L.,5,5
4,281,0.362,0.001,15-3974-57298,Cairns L.,5,5
4,283,0.758,0.003,15-3974-57298,Cairns L.,5,5
4,291,11.604,0.091,15-3974-57298,Cairns L.,5,5
4,331,71.004,0.501,15-3974-57298,Cairns L.,5,5
4,334,83.939,60.75,15-3974-57298,Cairns L.,5,5
4,341,0.121,0,15-3974-57298,Cairns L.,5,5
4,342,1.102,0.006,15-3974-57298,Cairns L.,5,5
5,81,4.177,11.019,15-5492-60415,Echoing L.,6,6
5,91,65.532,70.679,15-5492-60415,Echoing L.,6,6
5,93,17.436,0.432,15-5492-60415,Echoing L.,6,6
5,131,3.565,6.842,15-5492-60415,Echoing L.,6,6
5,162,1.884,0.575,15-5492-60415,Echoing L.,6,6
5,163,23.714,5.868,15-5492-60415,Echoing L.,6,6
5,185,25.99,0.512,15-5492-60415,Echoing L.,6,6
5,201,36.094,0.179,15-5492-60415,Echoing L.,6,6
5,211,6.754,0.038,15-5492-60415,Echoing L.,6,6
5,214,27.096,0.22,15-5492-60415,Echoing L.,6,6
5,271,1.628,1.771,15-5492-60415,Echoing L.,6,6
5,281,3.262,0.008,15-5492-60415,Echoing L.,6,6
5,283,3.349,0.01,15-5492-60415,Echoing L.,6,6
5,291,21.078,0.109,15-5492-60415,Echoing L.,6,6
5,331,118.622,2.226,15-5492-60415,Echoing L.,6,6
